Rank,Movie,Release_Date,Distributor,Genre,MPAA,2008_Gross,Tickets_Sold,Inflation_Adjusted_Gross
526,Kiss Me Deadly,5/2/2008,Regent Releasing,Drama ,R,30316,4222,30314
527,Yella,5/16/2008,Cinema Guild,Drama/Musical,Not Rated,30309,4221,30307
528,The Alphabet Killer,11/7/2008,Anchor Bay Entertainment,Thriller/Suspense,R,29784,4148,29783
529,While She Was Out,12/12/2008,Anchor Bay Entertainment,Thriller/Suspense,R,29784,4148,29783
530,Lou Reed's Berlin,7/18/2008,Weinstein Co.,Documentary,PG-13,29692,4135,29689
531,Mission Istaanbul,7/25/2008,Raja Cinema,Action/Adventure,Not Rated,29269,4076,29266
532,Good Dick,10/10/2008,Present Pictures/Morning Knight,Drama/Musical,R,28835,4016,28835
533,Jimmy Carter: Man From Plains,10/26/2007,Sony Pictures Classics,Documentary,PG,28278,3938,28275
534,Don Carlo,12/5/2008,Emerging Pictures,Documentary,Not Rated,27834,3877,27837
535,The Hottie and the Nottie,2/8/2008,Regent Releasing,Comedy,PG-13,27696,3857,27693
536,Frontrunners,10/15/2008,Oscilloscope Pictures,Documentary,Not Rated,26976,3757,26975
537,"Exiles, The",7/11/2008,Milestone,Drama ,Not Rated,26516,3693,26516
538,The Dukes,11/14/2008,CAVU Releasing,Comedy,PG-13,26157,3643,26157
539,The Air I Breathe,1/25/2008,ThinkFilm,Drama/Musical,R,25775,3590,25776
540,Before I Forget,7/18/2008,Strand,Drama/Musical,Not Rated,25209,3511,25209
541,The Walker,12/7/2007,ThinkFilm,Drama/Musical,R,24732,3445,24735
542,How to Cook Your Life,10/26/2007,Roadside Attractions,Documentary,PG-13,23789,3313,23787
543,Sex and Death 101,2/22/2008,Anchor Bay Entertainment,Comedy,R,23563,3282,23565
544,On Broadway,3/14/2008,Picture Park,Drama/Musical,Not Rated,23095,3217,23098
545,Ciao,12/5/2008,Regent Releasing,Drama ,R,22944,3196,22947
546,Yiddish Theater: A Love Story,11/21/2007,New Love Films,Documentary,Not Rated,22653,3155,22653
547,Timecrimes,12/12/2008,Magnolia Pictures,Thriller/Suspense,R,22494,3133,22495
548,Filth and Wisdom,10/17/2008,IFC Films,Comedy,Not Rated,22406,3121,22409
549,The Elephant King,10/17/2008,Unison Films,Drama/Musical,R,22251,3099,22251
550,In Search Of,11/7/2008,,Drama/Musical,Not Rated,22094,3077,22093
551,Maldeamores,3/14/2008,Maya Releasing,Drama/Musical,R,22000,3064,22000
552,Woman on the Beach,1/9/2008,New Yorker,Comedy,Not Rated,21957,3058,21956
553,The Matador,10/31/2008,City Lights Pictures,Documentary,Not Rated,21816,3038,21813
554,The Cry,4/25/2008,Monterey Media,Thriller/Suspense,R,21427,2984,21425
555,Diminished Capacity,7/4/2008,IFC Films,Comedy,Not Rated,21291,2965,21289
556,Dear Zachary: a letter to a son about his father,10/31/2008,Oscilloscope Pictures,Documentary,Not Rated,20834,2902,20836
557,Walking on Dead Fish,9/19/2008,Variance Films,Documentary,PG-13,20705,2884,20707
558,The First Basket,10/29/2008,Laemmle/Zeller Film,Documentary,Not Rated,20440,2847,20441
559,Glass: A Portrait of Philip in Twelve Parts,4/18/2008,Koch Lorber Films,Documentary,Not Rated,20018,2788,20018
560,Garden Party,7/11/2008,Roadside Attractions,Drama/Musical,Not Rated,19853,2765,19853
561,Trying to Get Good: The Jazz Odyssey of Jack Sheldon,5/30/2008,Reel Source,Documentary,Not Rated,19712,2745,19709
562,Beauty in Trouble,6/13/2008,Menemsha Entertainment,Comedy,Not Rated,19300,2688,19300
563,Saving Marriage,10/17/2008,Regent Releasing,Documentary,PG-13,18720,2607,18718
564,To the Limit,6/13/2008,First Run Features,Documentary,Not Rated,18254,2542,18252
565,Joe Strummer: The Future is Unwritten,11/2/2007,Sony Pictures,Documentary,Not Rated,18190,2533,18187
566,My Kid Could Paint That,10/5/2007,Sony Pictures Classics,Documentary,PG-13,18133,2525,18130
567,Billy the Kid,12/5/2007,Elephant Eye Films,Documentary,Not Rated,17809,2480,17806
568,The World Unseen,11/7/2008,Regent Releasing,Drama/Musical,PG-13,17808,2480,17806
569,Imaginary Witness: Hollywood and the Holocaust,12/25/2007,Shadow,Documentary,Not Rated,17537,2442,17534
570,Holding Trevor,7/4/2008,Regent Releasing,Drama/Musical,R,16814,2342,16816
571,Day Zero,1/18/2008,First Look,Drama/Musical,R,16659,2320,16658
572,Noise,5/9/2008,ThinkFilm,Comedy,R,16513,2300,16514
573,Antarctica,8/29/2008,Regent Releasing,Comedy,R,16312,2272,16313
574,Cthulhu,8/22/2008,Regent Releasing,Horror,R,15513,2161,15516
575,David & Layla,7/20/2007,Newroz Films,Comedy,R,15427,2149,15430
576,All Hat,1/18/2008,,Comedy,R,15198,2117,15200
577,Never Forever,4/11/2008,Arts Alliance America,Drama/Musical,R,14485,2017,14482
578,Kabei,1/26/2008,,Drama ,Not Rated,14416,2008,14417
579,Military Intelligence and You!,2/8/2008,Anywhere Road Entertainment,Comedy,Not Rated,14251,1985,14252
580,Splinter,10/31/2008,Magnolia Pictures,Horror,R,14154,1971,14152
581,Ripple Effect,7/11/2008,Monterey Media,Drama/Musical,R,14059,1958,14058
582,Poultrygeist: Night of the Chicken Dead,5/9/2008,Troma Entertainment,Comedy,Not Rated,13804,1923,13807
583,Full Grown Men,6/25/2008,Emerging Pictures,Comedy,Not Rated,13716,1910,13714
584,Good,12/31/2008,ThinkFilm,Drama/Musical,Not Rated,13651,1901,13649
585,Grace Is Gone,12/7/2007,Weinstein Co.,Drama/Musical,PG,13467,1876,13470
586,Harold,7/11/2008,City Lights Pictures,Comedy,PG-13,13229,1842,13226
587,Eden,11/14/2008,,Drama/Musical,Not Rated,13053,1818,13053
588,My Mexican Shivah,8/29/2008,Emerging Pictures,Comedy,Not Rated,13042,1816,13039
589,Blind Mountain,3/12/2008,Kino International,Drama/Musical,Not Rated,12719,1771,12716
590,In the Valley of Elah,9/14/2007,Warner Bros.,Drama/Musical,R,12718,1771,12716
591,Lake City,11/21/2008,Screen Media Films,Drama/Musical,R,12686,1767,12687
592,Jake's Corner,9/5/2008,Emerging Pictures,Drama/Musical,PG,12522,1744,12522
593,Shoot on Sight,9/26/2008,Aron Govil Productions,Drama/Musical,R,12500,1741,12500
594,The Tracey Fragments,11/2/2007,Alliance Atlantis,Drama/Musical,R,12459,1735,12457
595,Backseat,3/28/2008,Truly Indie,Drama/Musical,Not Rated,12343,1719,12342
596,Full Battle Rattle,7/11/2008,Mile End Films,Documentary,Not Rated,12306,1714,12307
597,Vice,5/9/2008,41 Inc.,Drama/Musical,R,12000,1671,11998
598,The Go-Getter,6/6/2008,Peace Arch Releasing,Drama/Musical,R,11931,1662,11933
599,Quid Pro Quo,6/13/2008,Magnolia Pictures,Drama/Musical,R,11864,1652,11861
600,Contre-Enquete,2/29/2008,,Drama/Musical,Not Rated,11846,1650,11847
601,August,7/11/2008,First Look,Drama/Musical,R,11762,1638,11761
602,Kenny,7/18/2008,Arcangelo Entertainment,Comedy,PG-13,11644,1622,11646
603,Gardens of the Night,11/7/2008,City Lights Pictures,Drama/Musical,R,11436,1593,11438
604,Quiet Chaos,2/8/2008,,Drama/Musical,R,11434,1592,11431
605,Operation Filmmaker,6/4/2008,First Run/Icarus,Documentary,Not Rated,11391,1586,11387
606,Outsourced,9/28/2007,Lantern Lane Entertainment,Comedy,PG-13,11340,1579,11337
607,Last Stop for Paul,3/8/2008,Mandt Brothers,Action/Adventure,PG-13,11340,1579,11337
608,What Would Jesus Buy?,11/16/2007,Warrior Poets,Documentary,PG,11232,1564,11230
609,Dark Streets,12/12/2008,Samuel Goldwyn Films,Drama/Musical,R,10958,1526,10957
610,Lost in Beijing,1/25/2008,New Yorker,Drama/Musical,Not Rated,10827,1508,10827
611,The Pleasure of Being Robbed,10/3/2008,,Drama/Musical,Not Rated,10687,1488,10684
612,Sputnik Mania,3/14/2008,Balcony Releasing,Documentary,Not Rated,10650,1483,10648
613,The Betrayal,11/21/2008,Cinema Guild,Documentary,Not Rated,10648,1483,10648
614,Whaledreamers,9/26/2008,Monterey Media,Documentary,Not Rated,10584,1474,10583
615,"Lord, Save Us From Your Followers",6/13/2008,Thunderstruck Films,Documentary,Not Rated,10510,1464,10512
616,Rogue,4/25/2008,Weinstein Co.,Horror,R,10452,1456,10454
617,Lagerfeld Confidential,10/24/2007,Koch Lorber Films,Documentary,Not Rated,10420,1451,10418
618,The Black Balloon,12/5/2008,Icon Film Distribution,Drama/Musical,PG-13,10342,1440,10339
619,Sleuth,10/12/2007,Sony Pictures Classics,Thriller/Suspense,R,9926,1382,9923
620,Fronti?re(s),5/9/2008,After Dark,Horror,NC-17,9913,1381,9916
621,"Live Fast, Die Young",10/24/2008,Riverrain,Drama/Musical,Not Rated,9841,1371,9844
622,Youssou N'Dour: Return to Goree,7/18/2008,,Drama ,Not Rated,9746,1357,9743
623,Elite Squad,9/19/2008,IFC Films,Action/Adventure,R,8744,1218,8745
624,Without the King,4/25/2008,First Run Features,Documentary,Not Rated,8663,1207,8666
625,A Good Day to be Black and Sexy,12/5/2008,Magnolia Pictures,Drama/Musical,Not Rated,8629,1202,8630
626,Battle for Haditha,5/7/2008,Lafayette Films,Documentary,R,8443,1176,8444
627,Amexicano,12/5/2008,Maya Releasing,Drama/Musical,PG-13,8387,1168,8386
628,Young People Fucking,8/29/2008,ThinkFilm,Comedy,Not Rated,8340,1162,8343
629,Tru Loved,10/17/2008,Regent Releasing,Comedy,R,8043,1120,8042
630,Kurt Cobain: About a Son,10/3/2007,Balcony Releasing,Documentary,Not Rated,7995,1114,7999
631,"Otto; Or, Up with Dead People",11/7/2008,Strand,Drama/Musical,Not Rated,7733,1077,7733
632,Little Big Top,10/31/2008,Self Distributed,Comedy,Not Rated,7484,1042,7482
633,Ugly aur Pagli,8/1/2008,Shemaroo Entertainment,Comedy,Not Rated,7362,1025,7360
634,Eden Lake,10/31/2008,Third Rail,Horror,R,7321,1020,7324
635,Special,11/21/2008,Revolver Entertainment,Drama/Musical,R,7202,1003,7202
636,Viva,6/20/2008,Vagrant Films,Comedy,Not Rated,7197,1002,7194
637,The Killing of John Lennon,1/2/2008,IFC First Take,Drama/Musical,Not Rated,6975,971,6972
638,Anamorph,4/16/2008,IFC Films,Thriller/Suspense,R,6873,957,6871
639,Patti Smith: Dream of Life,8/15/2008,Palm Pictures,Documentary,Not Rated,6703,934,6706
640,Take,7/18/2008,Liberation Entertainment,Drama/Musical,R,6627,923,6627
641,Expired,6/20/2008,MCR Releasing,Comedy,Not Rated,6596,919,6598
642,One Piece: The Desert Princess and the Pirates Adventures in Alabasta,2/7/2008,The Bigger Picture,Action/Adventure,Not Rated,6587,917,6584
643,The Sensation of Sight,11/9/2007,Monterey Media,Drama/Musical,R,6558,913,6555
644,Ek Vivah Aisa Nhi,11/7/2008,Eros Entertainment,Drama/Musical,Not Rated,6437,897,6440
645,It's a Free World...,5/16/2008,IFC Films,Drama/Musical,Not Rated,6389,890,6390
646,Arranged,12/14/2007,Film Movement,Drama/Musical,Not Rated,6312,879,6311
647,Times and Winds,1/11/2008,Atlantik Films,Drama/Musical,Not Rated,6176,860,6175
648,Red Roses and Petrol,6/27/2008,World Wide Motion Pictures,Drama/Musical,R,6000,836,6002
649,The Restless,11/21/2008,CJ Entertainment,Drama/Musical,R,5976,832,5974
650,Choose Connor,10/10/2008,Strand,Drama/Musical,Not Rated,5788,806,5787
651,Skid Marks,1/25/2008,Diversa Films,Comedy,Not Rated,5729,798,5730
652,Fraulein,9/19/2008,Film Movement,Drama/Musical,Not Rated,5715,796,5715
653,Christmas on Mars,9/12/2008,Self Distributed,Drama/Musical,Not Rated,5692,793,5694
654,Gomorrah,12/19/2008,IFC Films,Drama/Musical,Not Rated,5532,770,5529
655,Insidious,5/23/2008,Romantic Troubadour Entertainment,Thriller/Suspense,Not Rated,5508,767,5507
656,Nights and Weekends,10/10/2008,IFC Films,Drama/Musical,Not Rated,5430,756,5428
657,The Amazing Truth About Queen Raquela,9/26/2008,Regent Releasing,Drama/Musical,R,5384,750,5385
658,Heartbeat Detector,3/14/2008,New Yorker,Thriller/Suspense,Not Rated,5309,739,5306
659,A Lawyer Walks into a Bar,2/29/2008,Indican Pictures,Documentary,Not Rated,5202,725,5206
660,El Inmigrante,7/13/2007,Indican Pictures,Documentary,Not Rated,5196,724,5198
661,The Willow Tree,8/3/2007,New Yorker,Drama/Musical,Not Rated,5120,713,5119
662,God and Gays: Bridging the Gap,10/24/2008,Indican Pictures,Documentary,Not Rated,5095,710,5098
663,Fuel,11/14/2008,Blue Water Entertainment,Documentary,Not Rated,4915,685,4918
664,Tre,2/1/2008,Cinema Libre,Drama/Musical,Not Rated,4759,663,4760
665,Stealing America: Vote by Vote,8/1/2008,Direct Cinema Ltd,Documentary,Not Rated,4740,660,4739
666,I Want Someone To Eat Cheese With,9/5/2007,IFC Films,Comedy,Not Rated,4658,649,4660
667,Red,8/8/2008,Magnolia Pictures,Thriller/Suspense,Not Rated,4643,647,4645
668,Mad Detective,7/18/2008,IFC Films,Thriller/Suspense,Not Rated,4629,645,4631
669,Twisted: A Balloonamentary,5/23/2008,"Eliot Lives Productions, LLC",Documentary,Not Rated,4345,605,4344
670,Poisoned by Polonium: Litvinenko File,3/21/2008,Kino International,Documentary,Not Rated,4293,598,4294
671,"Romulus, My Father",2/29/2008,Magnolia Pictures,Drama/Musical,R,4283,597,4286
672,Solar Flare,6/6/2008,Regent Releasing,Action/Adventure,PG-13,4098,571,4100
673,Heavy Metal in Baghdad,5/23/2008,Arts Alliance America,Documentary,R,4070,567,4071
674,Vexville,2/14/2008,The Bigger Picture,Action/Adventure,Not Rated,4070,567,4071
675,Where God Left His Shoes,12/12/2008,IFC Films,Drama/Musical,Not Rated,3911,545,3913
676,Camille,11/14/2008,A-Mark Entertainment,Action/Adventure,PG-13,3849,536,3848
677,The Holy Mountain,1/21/2007,Abkco Films,Action/Adventure,Not Rated,3755,523,3755
678,King Corn,10/12/2007,Balcony Releasing,Documentary,Not Rated,3676,512,3676
679,Death Defying Acts,7/11/2008,Weinstein Co.,Drama/Musical,PG,3561,496,3561
680,Vivere,2/29/2008,Regent Releasing,Drama/Musical,R,3547,494,3547
681,Nothing But the Truth,12/19/2008,Yari Film Group Releasing,Drama/Musical,R,3500,487,3497
682,House of the Sleeping Beauties,11/14/2008,First Run Features,Drama/Musical,Not Rated,3387,472,3389
683,Fraude,10/10/2008,Maya Releasing,Documentary,Not Rated,3373,470,3375
684,"Flash Point (2007, Hong Kong)",3/14/2008,Third Rail,Action/Adventure,Not Rated,3271,456,3274
685,Wonderful Town,7/18/2008,Kino International,Drama/Musical,Not Rated,3239,451,3238
686,American Zombie,3/28/2008,Cinema Libre,Horror,Not Rated,3126,435,3123
687,Who Does She Think She Is?,10/17/2008,Artistic License,Documentary,Not Rated,3081,429,3080
688,The Beautiful Truth,11/14/2008,Cinema Libre,Documentary,Not Rated,3026,421,3023
689,Run For Your Life,10/31/2008,Screen Media Films,Documentary,Not Rated,2992,417,2994
690,Wetlands Preserved: The Story of an Activist Rock Club,3/14/2008,First Run Features,Documentary,Not Rated,2970,414,2973
691,"On the Other Hand, Death: A Donald Strachey Mystery",7/18/2008,Regent Releasing,Thriller/Suspense,R,2892,403,2894
692,Shrooms,2/1/2008,Magnolia Pictures,Horror,Not Rated,2863,399,2865
693,Nina's Heavenly Delights,11/21/2007,Regent Releasing,Comedy,PG,2852,397,2850
694,Lower Learning,10/10/2008,Anchor Bay Entertainment,Comedy,R,2804,391,2807
695,Turn the River,5/9/2008,Screen Media Films,Drama/Musical,R,2722,379,2721
696,Kicking It,6/13/2008,,Documentary,Not Rated,2669,372,2671
697,Polar Opposites,6/6/2008,Regent Releasing,Drama/Musical,PG-13,2377,331,2377
698,13 Months of Sunshine,6/6/2008,Abeselom Productions Distribution,Drama/Musical,Not Rated,2237,312,2240
699,"Angry Monk: Reflections on Tibet, The",1/2/2009,First Run/Icarus,Documentary,Not Rated,2125,296,2125
700,Running with Arnold,1/11/2008,Lantern Lane Entertainment,Documentary,Not Rated,2119,295,2118
701,Staub,12/5/2008,Icarus Films,Documentary,Not Rated,2072,289,2075
702,Murder.com,7/11/2008,Regent Releasing,Thriller/Suspense,R,2070,288,2068
703,"Doulos, Le",6/29/2007,Rialto Pictures,Thriller/Suspense,Not Rated,2025,282,2025
704,Hunger,12/5/2008,IFC Films,Drama/Musical,Not Rated,1980,276,1982
705,Jack and Jill vs. the World,4/11/2008,Lantern Lane Entertainment,Comedy,PG-13,1964,274,1967
706,El Topo,12/13/2006,Abkco Films,Drama/Musical,Not Rated,1940,270,1939
707,Fat Girls,11/2/2007,Regent Releasing,Comedy,R,1911,266,1910
708,Maria Bethania: Music is Perfume,8/29/2008,ArtMattan Productions,Documentary,Not Rated,1858,259,1860
709,Blonde Ambition,12/21/2007,First Look,Comedy,PG-13,1764,246,1766
710,La Leon,10/10/2008,Music Box Films,Drama/Musical,Not Rated,1708,238,1709
711,On the Rumba River,6/6/2008,First Run Features,Documentary,Not Rated,1698,236,1694
712,Edgar Allan Poe's House of Usher,5/9/2008,Regent Releasing,Horror,R,1677,234,1680
713,White Rainbow,4/7/2006,Rocky Mountain Pictures,Drama/Musical,PG-13,1403,195,1400
714,Ice Blues: A Donald Strachey Mystery,10/10/2008,Regent Releasing,Thriller/Suspense,R,1377,192,1379
715,Miss Conception,6/6/2008,First Look,Comedy,R,1342,187,1343
716,Fall of Hyperion,10/10/2008,Regent Releasing,Thriller/Suspense,PG,1093,152,1091
717,Flashbacks of a Fool,10/17/2008,Anchor Bay Entertainment,Drama/Musical,R,1020,142,1020
718,9.99,6/19/2009,Regent Releasing,Comedy,R,781,109,783
719,Death at a Funeral,8/17/2007,MGM,Comedy,R,744,104,747
720,Looking for Cheyenne,12/7/2007,Regent Releasing,Drama/Musical,R,722,101,725
721,How to Rob a Bank,2/6/2008,IFC Films,Comedy,Not Rated,711,99,711
722,Beyond Belief,2/29/2008,Film Sales Company,Documentary,Not Rated,667,93,668
723,The Life of Reilly,11/9/2007,Reel Diva Consultants,Documentary,Not Rated,654,91,653
724,Salvadore Allende,9/8/2006,First Run/Icarus,Documentary,Not Rated,634,88,632
725,Disfigured,7/18/2008,Cinema Libre,Drama/Musical,Not Rated,586,82,589
726,Rome & Jewel,11/28/2008,Emerging Pictures,Drama/Musical,Not Rated,470,65,467
727,Beautiful Boxer,1/21/2005,Regent Releasing,Drama/Musical,Not Rated,447,62,445
728,The Man of My Life,9/21/2007,Strand,Drama/Musical,Not Rated,424,59,424
729,Look,12/14/2007,Captured Films,Drama/Musical,R,410,57,409
730,The Rise and Fall of Miss Thang,8/14/2008,Lavender House Films,Drama/Musical,Not Rated,401,56,402
731,I for India,1/11/2008,First Run/Icarus,Documentary,Not Rated,386,54,388
732,The Bubble,9/7/2007,Strand,Drama/Musical,Not Rated,314,44,316
733,Half Moon,12/14/2007,Strand,Comedy,Not Rated,243,34,244
734,Show Business,5/11/2007,Regent Releasing,Documentary,PG,84,12,86
