Rank,Movie,Release_Date,Distributor,Genre,MPAA,2008_Gross,Tickets_Sold,Inflation_Adjusted_Gross
309,JCVD,11/7/2008,Peace Arch Releasing,Action/Adventure,R,448991,62534,448994
310,The Hammer,3/21/2008,Hammer the Movie,Comedy,R,442638,61649,442640
311,Hitman,11/21/2007,20th Century Fox,Action/Adventure,R,438996,61142,439000
312,Savage Grace,5/28/2008,IFC Films,Drama/Musical,Not Rated,434417,60504,434419
313,Starting Out in the Evening,11/23/2007,Roadside Attractions,Drama/Musical,PG-13,422075,58785,422076
314,The Girl Cut in Two,8/15/2008,IFC Films,Thriller/Suspense,Not Rated,409658,57055,409655
315,Le Piege Americain,5/16/2008,Alliance Atlantis,Thriller/Suspense,Not Rated,407447,56747,407443
316,The Promotion,6/6/2008,Weinstein Co.,Comedy,R,406252,56581,406252
317,Snow Angels,3/7/2008,Warner Independent,Drama/Musical,R,402858,56108,402855
318,Where in the World is Osama Bin Laden?,4/18/2008,Weinstein Co.,Documentary,PG-13,384955,53615,384956
319,Towelhead,9/12/2008,Warner Bros.,Drama/Musical,R,372124,51828,372125
320,The Singing Revolution,12/7/2007,Abramorama Films,Documentary,Not Rated,365660,50928,365663
321,La Rivi?re aux Castors,2/22/2008,Alliance Atlantis,Drama/Musical,Not Rated,360886,50263,360888
322,Everybody Wants To Be Italian,9/5/2008,Roadside Attractions,Comedy,R,351416,48944,351418
323,Last Chance Harvey,12/25/2008,Overture Films,Drama/Musical,PG-13,350947,48878,350944
324,Teeth,1/18/2008,Roadside Attractions,Comedy,R,346692,48286,346693
325,Jellyfish,4/4/2008,Zeitgeist,Drama/Musical,Not Rated,341221,47524,341222
326,Tout est Parfait,2/15/2008,Alliance Atlantis,Drama/Musical,Not Rated,336569,46876,336570
327,Thoda Pyaar Thoda Magic,6/27/2008,Yash Raj Films,Drama/Musical,Not Rated,335874,46779,335873
328,Kidnap,10/3/2008,Studio 18,Thriller/Suspense,Not Rated,328573,45762,328571
329,Billy: The Early Years of Billy Graham,10/10/2008,Rocky Mountain Pictures,Drama/Musical,Not Rated,320896,44693,320896
330,Golmaal Returns,10/31/2008,Studio 18,Comedy,Not Rated,313102,43608,313105
331,"Bigger, Stronger, Faster*",5/30/2008,Magnolia Pictures,Documentary,PG-13,308575,42977,308575
332,City of Men,2/29/2008,Miramax,Drama/Musical,R,307076,42768,307074
333,Life Before Her Eyes,4/18/2008,Magnolia Pictures,Drama/Musical,R,303439,42262,303441
334,OSS 117,5/9/2008,Music Box Films,Action/Adventure,Not Rated,303328,42246,303326
335,Awake,11/30/2007,Weinstein Co.,Thriller/Suspense,R,295591,41169,295593
336,Passengers,10/24/2008,Sony Pictures,Thriller/Suspense,PG-13,292437,40729,292434
337,The Mist,11/21/2007,MGM,Horror,R,287853,40091,287853
338,The Perfect Holiday,12/12/2007,Yari Film Group Releasing,Comedy,PG,280140,39017,280142
339,The Duchess of Langeais,2/22/2008,IFC Films,Drama/Musical,Not Rated,278601,38802,278598
340,The Grocer's Son,6/6/2008,Film Movement,Drama/Musical,Not Rated,276454,38503,276452
341,Morning Light,10/17/2008,Buena Vista,Documentary,PG,275093,38314,275095
342,Taxi to the Dark Side,1/18/2008,ThinkFilm,Documentary,R,274661,38254,274664
343,Planet B-Boy,3/21/2008,Elephant Eye Films,Documentary,Not Rated,272791,37993,272790
344,Surfwise,5/9/2008,Magnolia Pictures,Documentary,R,269994,37604,269997
345,The Lucky Ones,9/26/2008,Lionsgate,Drama/Musical,R,266967,37182,266967
346,My Brother Is an Only Child,3/28/2008,ThinkFilm,Drama/Musical,R,255620,35602,255622
347,Honeydripper,12/28/2007,Emerging Pictures,Drama/Musical,PG-13,252103,35112,252104
348,The Signal,2/22/2008,Magnolia Pictures,Horror,R,251150,34979,251149
349,Lars and the Real Girl,10/12/2007,MGM,Comedy,PG-13,248606,34625,248608
350,One Two Three,3/28/2008,Eros Entertainment,Comedy,Not Rated,246724,34363,246726
351,Chaos Theory,3/14/2008,Warner Bros.,Comedy,PG-13,240476,33492,240473
352,"C'est pas moi, je le jure!",9/25/2008,Films Seville,Comedy,Not Rated,235027,32734,235030
353,The Foot Fist Way,5/30/2008,Paramount Vantage,Comedy,R,234286,32630,234283
354,Il Divo,5/28/2008,Music Box Films,Drama/Musical,,233124,32469,233127
355,La Vie en Rose,6/8/2007,Picturehouse,Drama/Musical,PG-13,230722,32134,230722
356,Standard Operating Procedure,4/25/2008,Sony Pictures Classics,Documentary,R,228830,31870,228827
357,Goal! 2: Living the Dream...,8/29/2008,Buena Vista,Drama/Musical,PG-13,225067,31346,225064
358,Sixty Six,8/1/2008,First Independent Pictures,Comedy,PG-13,223526,31132,223528
359,Battle in Seattle,9/19/2008,ThinkFilm,Drama/Musical,R,223051,31066,223054
360,Waltz with Bashir,12/25/2008,Sony Pictures Classics,Documentary,R,220441,30702,220440
361,"Che, El Ar the Argentine",9/5/2008,,Drama ,R,218470,30428,218473
362,Chris and Don: A Love Story,6/13/2008,Zeitgeist,Documentary,Not Rated,216110,30099,216111
363,Hell Ride,8/8/2008,Weinstein Co.,Action/Adventure,R,213608,29750,213605
364,Call+Response,10/10/2008,Fair Trade Pictures,Documentary,PG-13,207625,28917,207624
365,CJ7,3/7/2008,Sony Pictures Classics,Comedy,PG,206678,28785,206676
366,The Legend of God's Gun,7/18/2008,Indican Pictures,Drama/Musical,Not Rated,204682,28507,204680
367,Steep,12/21/2007,Sony Pictures Classics,Documentary,PG,204069,28422,204070
368,The Darjeeling Limited,9/29/2007,Fox Searchlight,Action/Adventure,R,204055,28420,204056
369,The Secret of the Grain,8/1/2008,IFC Films,Drama/Musical,Not Rated,203490,28341,203488
370,"My Father, My Lord",5/16/2008,Kino International,Drama/Musical,Not Rated,203304,28315,203302
371,Defiance,12/31/2008,Paramount Vantage,Drama/Musical,R,200614,27941,200616
372,La Traviata at La Scala,2/15/2008,Emerging Pictures,Documentary,Not Rated,195494,27228,195497
373,The Errand of Angels,8/22/2008,Excel Entertainment,Drama/Musical,PG,195184,27184,195181
374,Ben X,10/24/2008,Film Movement,Drama/Musical,Not Rated,193137,26899,193135
375,Margot at the Wedding,11/16/2007,Paramount Vantage,Drama/Musical,R,191989,26739,191986
376,Fashion,10/31/2008,UTV Communications,Drama/Musical,Not Rated,191442,26663,191440
