Rank,Movie,Release_Date,Distributor,Genre,MPAA,Gross_Collection,Tickets_Sold,Inflation_Adjusted_Gross,Tickets_TT,Gross_ML,RT_Rating
201,Charlie Bartlett,39500,MGM,Comedy,R,3950294,550180,3950292,55.018,3.950294,6.5
205,The Reader,39792,Weinstein Co.,Drama/Musical,R,3553578,494927,3553576,49.4927,3.553578,7.2
209,Blindness,39724,Miramax,Thriller/Suspense,R,3073392,428049,3073392,42.8049,3.073392,6.4
211,Man on Wire,39654,Magnolia Pictures,Documentary,PG-13,2942990,409887,2942989,40.9887,2.94299,7.5
212,Choke,39717,Fox Searchlight,Comedy,R,2926565,407600,2926568,40.76,2.926565,6
213,How to Lose Friends & Alienate People,39724,MGM,Comedy,R,2775593,386573,2775594,38.6573,2.775593,6.2
214,"Synecdoche, New York",39745,Sony Pictures Classics,Drama/Musical,R,2705849,376859,2705848,37.6859,2.705849,7.4
217,Redbelt,39570,Sony Pictures Classics,Action/Adventure,R,2344847,326580,2344844,32.658,2.344847,6.4
218,Frozen River,39661,Sony Pictures Classics,Drama/Musical,R,2309148,321608,2309145,32.1608,2.309148,6.7
220,Transsiberian,39647,First Look,Thriller/Suspense,R,2203641,306914,2203643,30.6914,2.203641,6.5
224,The Wackness,39632,Sony Pictures Classics,Comedy,R,2077046,289282,2077045,28.9282,2.077046,6.2
233,The Game Plan,39353,Buena Vista,Comedy,PG,1608219,223986,1608219,22.3986,1.608219,6
234,Married Life,39514,Sony Pictures Classics,Drama/Musical,PG-13,1506998,209888,1506996,20.9888,1.506998,6.1
235,August Rush,39407,Warner Bros.,Drama/Musical,PG,1490945,207653,1490949,20.7653,1.490945,7.1
237,Bienvenue chez les Ch'tis,39654,Link Productions Ltd.,Comedy,Not Rated,1470856,204855,1470859,20.4855,1.470856,6.8
238,Revolutionary Road,39808,Paramount Vantage,Drama/Musical,R,1375749,191608,1375745,19.1608,1.375749,6.7
239,Race,39528,UTV Communications,Action/Adventure,Not Rated,1367024,190393,1367022,19.0393,1.367024,7.1
240,The Wrestler,39799,Fox Searchlight,Drama/Musical,R,1324228,184433,1324229,18.4433,1.324228,7.3
241,Into the Wild,39346,Paramount Vantage,Drama/Musical,R,1295247,180397,1295250,18.0397,1.295247,7.8
242,Funny Games,39521,Warner Independent,Thriller/Suspense,R,1294640,180312,1294640,18.0312,1.29464,6.3
245,Flawless,39535,Magnolia Pictures,Drama/Musical,PG-13,1200234,167164,1200238,16.7164,1.200234,5.9
248,Brick Lane,39619,Sony Pictures Classics,Drama/Musical,PG-13,1094998,152507,1095000,15.2507,1.094998,5.2
249,What Just Happened,39738,Magnolia Pictures,Comedy,R,1090947,151942,1090944,15.1942,1.090947,5.2
251,And When Did You Last See Your Father?,39605,Sony Pictures Classics,Drama/Musical,PG-13,1071240,149198,1071242,14.9198,1.07124,6.9
256,American Gangster,39388,Universal,Drama/Musical,R,1013910,141213,1013909,14.1213,1.01391,7.4
262,Diary of the Dead,39493,Weinstein Co.,Horror,R,952620,132677,952621,13.2677,0.95262,5.4
268,My Blueberry Nights,39542,Weinstein Co.,Drama/Musical,PG-13,866778,120721,866777,12.0721,0.866778,6
278,Delgo,39794,Freestyle Releasing,Action/Adventure,PG,694782,96766,694780,9.6766,0.694782,5.4
288,"War, Inc.",39591,First Look,Comedy,R,578527,80575,578529,8.0575,0.578527,5.6
305,Bella,39381,Roadside Attractions,Drama/Musical,PG-13,462020,64348,462019,6.4348,0.46202,6.7
310,The Hammer,39528,Hammer the Movie,Comedy,R,442638,61649,442640,6.1649,0.442638,6.5
311,Hitman,39407,20th Century Fox,Action/Adventure,R,438996,61142,439000,6.1142,0.438996,5.9
312,Savage Grace,39596,IFC Films,Drama/Musical,Not Rated,434417,60504,434419,6.0504,0.434417,5.7
317,Snow Angels,39514,Warner Independent,Drama/Musical,R,402858,56108,402855,5.6108,0.402858,6.5
324,Teeth,39465,Roadside Attractions,Comedy,R,346692,48286,346693,4.8286,0.346692,5.2
335,Awake,39416,Weinstein Co.,Thriller/Suspense,R,295591,41169,295593,4.1169,0.295591,6.3
337,The Mist,39407,MGM,Horror,R,287853,40091,287853,4.0091,0.287853,6.7
342,Taxi to the Dark Side,39465,ThinkFilm,Documentary,R,274661,38254,274664,3.8254,0.274661,6.6
345,The Lucky Ones,39717,Lionsgate,Drama/Musical,R,266967,37182,266967,3.7182,0.266967,6.3
348,The Signal,39500,Magnolia Pictures,Horror,R,251150,34979,251149,3.4979,0.25115,5.8
349,Lars and the Real Girl,39367,MGM,Comedy,PG-13,248606,34625,248608,3.4625,0.248606,7.1
356,Standard Operating Procedure,39563,Sony Pictures Classics,Documentary,R,228830,31870,228827,3.187,0.22883,6.6
366,The Legend of God's Gun,39647,Indican Pictures,Drama/Musical,Not Rated,204682,28507,204680,2.8507,0.204682,0
377,This Christmas,39407,Sony/Screen Gems,Drama/Musical,PG-13,189864,26443,189861,2.6443,0.189864,7.1
378,Elsa & Fred,39626,Mitropoulos Films,Comedy,PG,189024,26326,189021,2.6326,0.189024,6.2
383,My Name is Bruce,39752,Image Entertainment,Horror,R,173066,24104,173067,2.4104,0.173066,5.9
395,Repo! The Genetic Opera,39759,Lionsgate,Drama/Musical,R,140244,19533,140247,1.9533,0.140244,6.7
396,Baghead,39612,Sony Pictures Classics,Drama/Musical,R,140016,19501,140017,1.9501,0.140016,5.8
405,The Other End of the Line,39752,MGM,Comedy,PG-13,115504,16087,115505,1.6087,0.115504,6.1
409,Wendy and Lucy,39792,Oscilloscope Pictures,Drama/Musical,R,111329,15505,111326,1.5505,0.111329,6.4
411,Pathology,39556,MGM,Thriller/Suspense,R,109045,15187,109043,1.5187,0.109045,5.6
464,Lions for Lambs,39395,United Artists,Drama/Musical,R,62708,8734,62710,0.8734,0.062708,6
481,Roadside Romeo,39745,Yash Raj Films,Action/Adventure,Not Rated,55202,7688,55200,0.7688,0.055202,6.7
513,Shotgun Stories,39430,International Film Circuit,Drama/Musical,PG-13,37116,5169,37113,0.5169,0.037116,6.9
514,"Surfer, Dude",39696,Anchor Bay Entertainment,Comedy,R,36497,5083,36496,0.5083,0.036497,4.7
515,Control,39365,Weinstein Co.,Drama/Musical,R,35106,4889,35103,0.4889,0.035106,7.5
519,Kiss the Bride,39556,Regent Releasing,Comedy,R,32033,4461,32030,0.4461,0.032033,4.2
524,The Assassination of Jesse James by the Coward Robert Ford,39346,Warner Bros.,Drama/Musical,R,30501,4248,30501,0.4248,0.030501,7
532,Good Dick,39731,Present Pictures/Morning Knight,Drama/Musical,R,28835,4016,28835,0.4016,0.028835,6.1
553,The Matador,39752,City Lights Pictures,Documentary,Not Rated,21816,3038,21813,0.3038,0.021816,6.2
576,All Hat,39465,,Comedy,R,15198,2117,15200,0.2117,0.015198,1
582,Poultrygeist: Night of the Chicken Dead,39577,Troma Entertainment,Comedy,Not Rated,13804,1923,13807,0.1923,0.013804,5.9
584,Good,39813,ThinkFilm,Drama/Musical,Not Rated,13651,1901,13649,0.1901,0.013651,6.3
587,Eden,39766,,Drama/Musical,Not Rated,13053,1818,13053,0.1818,0.013053,5.6
590,In the Valley of Elah,39339,Warner Bros.,Drama/Musical,R,12718,1771,12716,0.1771,0.012718,6.6
601,August,39640,First Look,Drama/Musical,R,11762,1638,11761,0.1638,0.011762,6.2
632,Little Big Top,39752,Self Distributed,Comedy,Not Rated,7484,1042,7482,0.1042,0.007484,10
634,Eden Lake,39752,Third Rail,Horror,R,7321,1020,7324,0.102,0.007321,6.7
635,Special,39773,Revolver Entertainment,Drama/Musical,R,7202,1003,7202,0.1003,0.007202,6.6
655,Insidious,39591,Romantic Troubadour Entertainment,Thriller/Suspense,Not Rated,5508,767,5507,0.0767,0.005508,6.8
663,Fuel,39766,Blue Water Entertainment,Documentary,Not Rated,4915,685,4918,0.0685,0.004915,7
666,I Want Someone To Eat Cheese With,39330,IFC Films,Comedy,Not Rated,4658,649,4660,0.0649,0.004658,5.7
667,Red,39668,Magnolia Pictures,Thriller/Suspense,Not Rated,4643,647,4645,0.0647,0.004643,6.6
709,Blonde Ambition,39437,First Look,Comedy,PG-13,1764,246,1766,0.0246,0.001764,3.9
719,Death at a Funeral,39311,MGM,Comedy,R,744,104,747,0.0104,0.000744,6.9
